,sampling_week,effective_concentration_rolling_average,population,region,state,name,fipscode
0,2021-06-09,4.952360465671804,"30,000-100,000",South,AL,"Madison County, AL",01089
1,2021-06-16,6.469658122038847,"30,000-100,000",South,AL,"Madison County, AL",01089
2,2021-06-23,11.000615931082258,"30,000-100,000",South,AL,"Madison County, AL",01089
3,2021-06-30,42.61303559310554,"30,000-100,000",South,AL,"Madison County, AL",01089
4,2021-07-07,44.265289541135566,"30,000-100,000",South,AL,"Madison County, AL",01089
5,2021-07-14,104.35982168158246,"30,000-100,000",South,AL,"Madison County, AL",01089
6,2021-07-21,180.51245892746329,"30,000-100,000",South,AL,"Madison County, AL",01089
7,2021-07-28,252.3229087605304,"30,000-100,000",South,AL,"Madison County, AL",01089
8,2021-08-04,455.6976539086429,"30,000-100,000",South,AL,"Madison County, AL",01089
9,2021-08-11,699.6375298856196,"30,000-100,000",South,AL,"Madison County, AL",01089
10,2021-08-18,759.9177208537774,"30,000-100,000",South,AL,"Madison County, AL",01089
11,2022-02-16,314.16780824319585,"30,000-100,000",South,AL,"Madison County, AL",01089
12,2022-02-23,210.5005828389134,"30,000-100,000",South,AL,"Madison County, AL",01089
13,2022-03-02,151.1962740509022,"30,000-100,000",South,AL,"Madison County, AL",01089
14,2020-05-20,3.150101313354001,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
15,2021-06-23,46.26415300504497,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
16,2021-06-30,32.74457664987847,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
17,2021-07-07,34.091866167756606,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
18,2021-07-14,36.28551742327681,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
19,2021-07-21,94.60388211209003,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
20,2021-07-28,188.2772422540935,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
21,2021-08-04,267.34971303380445,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
22,2021-08-11,316.4062085397381,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
23,2021-08-18,246.29639125202684,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
24,2022-02-09,225.48995410368087,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
25,2022-02-16,186.8360406255757,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
26,2022-02-23,134.8690679300601,"300,000-1,000,000",West,AZ,"Pima County, AZ",04019
27,2020-04-15,18.10472063553101,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
28,2020-04-22,3.77181679906896,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
29,2020-04-29,0.0,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
30,2020-05-06,0.0,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
31,2020-05-13,1.1470739579947304,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
32,2020-05-20,4.588295831978922,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
33,2020-05-27,1.3877319254624438,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
34,2020-06-03,1.155158243845024,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
35,2022-02-16,336.4814910778876,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
36,2022-02-23,317.9832230622431,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
37,2022-03-02,218.75124951371475,"3,000-10,000",West,AZ,"Yavapai County, AZ",04025
38,2021-06-09,126.39942587877376,"10,000-30,000",South,AR,"Benton County, AR",05007
39,2021-06-16,169.14920259064957,"10,000-30,000",South,AR,"Benton County, AR",05007
